date,total_stocks,up_gt_1pct,up_gt_2pct,down_gt_1pct,down_gt_2pct,moved_gt_1pct,moved_gt_2pct,pct_moved_gt_1pct,pct_moved_gt_2pct,pct_up_gt_1pct,pct_up_gt_2pct,pct_down_gt_1pct,pct_down_gt_2pct
2024-12-31,2276,821,429,396,192,1217,621,53.5,27.3,36.1,18.8,17.4,8.4
2025-01-01,2287,1002,606,262,96,1264,702,55.3,30.7,43.8,26.5,11.5,4.2
2025-01-02,2286,912,446,386,152,1298,598,56.8,26.2,39.9,19.5,16.9,6.6
2025-01-03,2284,585,311,572,240,1157,551,50.7,24.1,25.6,13.6,25.0,10.5
2025-01-06,2309,114,76,1953,1710,2067,1786,89.5,77.3,4.9,3.3,84.6,74.1
2025-01-07,2285,1163,711,258,133,1421,844,62.2,36.9,50.9,31.1,11.3,5.8
2025-01-08,2285,309,182,1086,527,1395,709,61.1,31.0,13.5,8.0,47.5,23.1
2025-01-09,2280,236,127,1225,735,1461,862,64.1,37.8,10.4,5.6,53.7,32.2
2025-01-10,2280,126,74,1732,1324,1858,1398,81.5,61.3,5.5,3.2,76.0,58.1
2025-01-13,2312,68,43,2028,1814,2096,1857,90.7,80.3,2.9,1.9,87.7,78.5
2025-01-14,2281,1432,1102,289,150,1721,1252,75.4,54.9,62.8,48.3,12.7,6.6
2025-01-15,2282,690,397,577,265,1267,662,55.5,29.0,30.2,17.4,25.3,11.6
2025-01-16,2281,1206,708,242,116,1448,824,63.5,36.1,52.9,31.0,10.6,5.1
2025-01-17,2284,606,312,583,244,1189,556,52.1,24.3,26.5,13.7,25.5,10.7
